run_timestamp_utc,model_validation_pass,score_psi,score_psi_interpretation,features_material_shift_count,features_material_shift,features_moderate_shift_count,fairness_material_count,fairness_material_significant_count,fairness_borderline_count,governance_tier,governance_status,required_action,owner,sla_business_days
2026-08-31T07:11:20.283925+00:00,True,0.1910679756130214,Moderate shift — monitor,10,fe_min_balance_to_expenses; fe_balance_to_monthly_expenses; fe_business_arrears_days; fe_negative_balance_days; credit_volatility_90d; fe_debt_to_assets; fe_liabilities_to_annual_revenue; fe_cash_flow_trend; director_credit_utilization; fe_business_credit_utilization,4,0,0,0,TIER_2_ESCALATE,Escalate for review,"Material signals present but not yet conclusive (e.g. a fairness flag without statistical significance, or several features drifting without the overall score drifting). A human review is warranted before deciding whether recalibration is needed.",Model Risk Analyst,15
2026-08-31T07:13:06.154941+00:00,True,0.19106797561302147,Moderate shift — monitor,10,fe_min_balance_to_expenses; fe_balance_to_monthly_expenses; fe_business_arrears_days; fe_negative_balance_days; credit_volatility_90d; fe_debt_to_assets; fe_liabilities_to_annual_revenue; fe_cash_flow_trend; director_credit_utilization; fe_business_credit_utilization,4,0,0,0,TIER_2_ESCALATE,Escalate for review,"Material signals present but not yet conclusive (e.g. a fairness flag without statistical significance, or several features drifting without the overall score drifting). A human review is warranted before deciding whether recalibration is needed.",Model Risk Analyst,15
